date,harga_beras_nasional
2019-09-09,11650.0
2019-09-10,11700.0
2019-09-11,11675.0
2019-09-12,11650.0
2019-09-13,11660.526315789473
2019-09-14,11671.052631578947
2019-09-15,11681.578947368422
2019-09-16,11692.105263157895
2019-09-17,11702.631578947368
2019-09-18,11713.157894736842
2019-09-19,11723.684210526315
2019-09-20,11734.21052631579
2019-09-21,11744.736842105263
2019-09-22,11755.263157894737
2019-09-23,11765.78947368421
2019-09-24,11776.315789473685
2019-09-25,11786.842105263158
2019-09-26,11797.368421052632
2019-09-27,11807.894736842105
2019-09-28,11818.421052631578
2019-09-29,11828.947368421053
2019-09-30,11839.473684210527
2019-10-01,11850.0
2019-10-02,11800.0
2019-10-03,11750.0
2019-10-04,11700.0
2019-10-05,11650.0
2019-10-06,11600.0
2019-10-07,11650.0
2019-10-08,11650.0
2019-10-09,11650.0
2019-10-10,11700.0
2019-10-11,11700.0
2019-10-12,11700.0
2019-10-13,11707.5
2019-10-14,11715.0
2019-10-15,11722.5
2019-10-16,11730.0
2019-10-17,11737.5
2019-10-18,11745.0
2019-10-19,11752.5
2019-10-20,11760.0
2019-10-21,11767.5
2019-10-22,11775.0
2019-10-23,11782.5
2019-10-24,11790.0
2019-10-25,11797.5
2019-10-26,11805.0
2019-10-27,11812.5
2019-10-28,11820.0
2019-10-29,11827.5
2019-10-30,11835.0
2019-10-31,11842.5
2019-11-01,11850.0
2019-11-02,11900.0
2019-11-03,11800.0
2019-11-04,11700.0
2019-11-05,11675.0
2019-11-06,11650.0
2019-11-07,11650.0
2019-11-08,11650.0
2019-11-09,11650.0
2019-11-10,11700.0
2019-11-11,11700.0
2019-11-12,11750.0
2019-11-13,11757.5
2019-11-14,11765.0
2019-11-15,11772.5
2019-11-16,11780.0
2019-11-17,11787.5
2019-11-18,11795.0
2019-11-19,11802.5
2019-11-20,11810.0
2019-11-21,11817.5
2019-11-22,11825.0
2019-11-23,11832.5
2019-11-24,11840.0
2019-11-25,11847.5
2019-11-26,11855.0
2019-11-27,11862.5
2019-11-28,11870.0
2019-11-29,11877.5
2019-11-30,11885.0
2019-12-01,11892.5
2019-12-02,11900.0
2019-12-03,11800.0
2019-12-04,11700.0
