date,harga_beras_kateng,harga_beras_nasional,global_price,lag_nasional_1,lag_global_1,lag_nasional_3,lag_global_3,lag_nasional_7,lag_global_7,lag_nasional_30,lag_global_30,rolling_nasional_7,rolling_global_7,rolling_nasional_14,rolling_global_14,rolling_nasional_30,rolling_global_30
2022-04-18,14662.5,11942.5,431.0,11965.0,431.0,12010.0,431.0,12100.0,431.0,11947.619047619048,422.0,12010.0,431.0,12140.714285714286,431.0,11956.857142857141,427.4
2022-04-19,14600.0,11920.0,431.0,11942.5,431.0,11987.5,431.0,12077.5,431.0,11928.57142857143,422.0,11987.5,431.0,12010.0,431.0,11956.571428571428,427.7
2022-04-20,14537.5,11897.5,431.0,11920.0,431.0,11965.0,431.0,12055.0,431.0,11909.52380952381,422.0,11965.0,431.0,11950.892857142857,431.0,11956.170634920634,428.0
2022-04-21,14475.0,11875.0,431.0,11897.5,431.0,11942.5,431.0,12032.5,431.0,11890.47619047619,422.0,11942.5,431.0,11963.392857142857,431.0,11955.654761904761,428.3
2022-04-22,14412.5,11852.5,431.0,11875.0,431.0,11920.0,431.0,12010.0,431.0,11871.42857142857,422.0,11920.0,431.0,11974.285714285714,431.0,11955.02380952381,428.6
2022-04-23,14350.0,11830.0,431.0,11852.5,431.0,11897.5,431.0,11987.5,431.0,11852.380952380952,422.0,11897.5,431.0,11971.07142857143,431.0,11954.277777777777,428.9
2022-04-24,14287.5,11807.5,431.0,11830.0,431.0,11875.0,431.0,11965.0,431.0,11833.333333333334,422.0,11875.0,431.0,11953.75,431.0,11953.416666666666,429.2
2022-04-25,14225.0,11785.0,431.0,11807.5,431.0,11852.5,431.0,11942.5,431.0,11814.285714285714,422.0,11852.5,431.0,11931.25,431.0,11952.440476190475,429.5
2022-04-26,14162.5,11762.5,431.0,11785.0,431.0,11830.0,431.0,11920.0,431.0,11795.238095238095,422.0,11830.0,431.0,11908.75,431.0,11951.349206349207,429.8
2022-04-27,14100.0,11740.0,431.0,11762.5,431.0,11807.5,431.0,11897.5,431.0,11776.190476190475,422.0,11807.5,431.0,11886.25,431.0,11950.142857142859,430.1
2022-04-28,14037.5,11717.5,431.0,11740.0,431.0,11785.0,431.0,11875.0,431.0,11757.142857142857,422.0,11785.0,431.0,11863.75,431.0,11948.821428571428,430.4
2022-04-29,13975.0,11695.0,431.0,11717.5,431.0,11762.5,431.0,11852.5,431.0,11738.09523809524,422.0,11762.5,431.0,11841.25,431.0,11947.38492063492,430.7
2022-04-30,13912.5,11672.5,431.0,11695.0,431.0,11740.0,431.0,11830.0,431.0,11719.047619047618,422.0,11740.0,431.0,11818.75,431.0,11945.833333333334,431.0
2022-05-01,13850.0,11650.0,464.0,11672.5,431.0,11717.5,431.0,11807.5,431.0,11700.0,431.0,11717.5,435.7142857142857,11796.25,433.35714285714283,11944.166666666666,432.1
2022-05-02,13933.333333333334,11666.666666666666,464.0,11650.0,464.0,11695.0,431.0,11785.0,431.0,11700.0,431.0,11700.595238095239,440.42857142857144,11776.547619047618,435.7142857142857,11943.055555555557,433.2
2022-05-03,14016.666666666666,11683.333333333334,464.0,11666.666666666666,464.0,11672.5,431.0,11762.5,431.0,11700.0,431.0,11689.285714285714,445.14285714285717,11759.642857142857,438.07142857142856,11942.5,434.3
2022-05-04,14100.0,11700.0,464.0,11683.333333333334,464.0,11650.0,464.0,11740.0,431.0,11750.0,431.0,11683.57142857143,449.85714285714283,11745.535714285714,440.42857142857144,11940.833333333334,435.4
2022-05-05,14066.666666666666,12350.0,464.0,11700.0,464.0,11666.666666666666,464.0,11717.5,431.0,13750.0,431.0,11773.92857142857,454.57142857142856,11779.464285714286,442.7857142857143,11894.166666666666,436.5
2022-05-06,14033.333333333334,12025.0,464.0,12350.0,464.0,11683.333333333334,464.0,11695.0,431.0,12725.0,431.0,11821.07142857143,459.2857142857143,11791.785714285714,445.14285714285717,11870.833333333334,437.6
2022-05-07,14000.0,11700.0,464.0,12025.0,464.0,11700.0,464.0,11672.5,431.0,11700.0,431.0,11825.0,464.0,11782.5,447.5,11870.833333333334,438.7
2022-05-08,14350.0,11700.0,464.0,11700.0,464.0,12350.0,464.0,11650.0,464.0,11700.0,431.0,11832.142857142857,464.0,11774.82142857143,449.85714285714283,11870.833333333334,439.8
2022-05-09,14900.0,11850.0,464.0,11700.0,464.0,12025.0,464.0,11666.666666666666,464.0,11875.0,431.0,11858.333333333332,464.0,11779.464285714286,452.2142857142857,11870.0,440.9
2022-05-10,14950.0,12050.0,464.0,11850.0,464.0,11700.0,464.0,11683.333333333334,464.0,12050.0,431.0,11910.714285714286,464.0,11800.0,454.57142857142856,11870.0,442.0
2022-05-11,15425.0,12175.0,464.0,12050.0,464.0,11700.0,464.0,11700.0,464.0,12100.0,431.0,11978.57142857143,464.0,11831.07142857143,456.92857142857144,11872.5,443.1
2022-05-12,15900.0,12300.0,464.0,12175.0,464.0,11850.0,464.0,12350.0,464.0,12077.5,431.0,11971.42857142857,464.0,11872.67857142857,459.2857142857143,11879.916666666666,444.2
