harga_beras_kateng,date,harga_beras_nasional,lag_nasional_1,rolling_nasional_7,lag_nasional_3,rolling_nasional_14,rolling_global_30,lag_global_30,rolling_global_14,lag_global_7,global_price
18670.0,2024-03-28,14710.0,14737.5,14792.5,14792.5,14888.75,613.7333333333333,624.0,613.0,613.0,613.0
18702.5,2024-03-29,14682.5,14710.0,14765.0,14765.0,14861.25,613.3666666666667,624.0,613.0,613.0,613.0
18735.0,2024-03-30,14655.0,14682.5,14737.5,14737.5,14833.75,613.0,624.0,613.0,613.0,613.0
18767.5,2024-03-31,14627.5,14655.0,14710.0,14710.0,14806.25,613.0,613.0,613.0,613.0,613.0
18800.0,2024-04-01,14600.0,14627.5,14682.5,14682.5,14778.75,612.3,613.0,611.5,613.0,592.0
19150.0,2024-04-02,15225.0,14600.0,14748.214285714286,14655.0,14797.857142857143,611.6,613.0,610.0,613.0,592.0
19500.0,2024-04-03,15850.0,15225.0,14907.142857142857,14627.5,14863.57142857143,610.9,613.0,608.5,613.0,592.0
19600.0,2024-04-04,15700.0,15850.0,15048.57142857143,14600.0,14920.535714285714,610.2,613.0,607.0,613.0,592.0
19375.0,2024-04-05,15450.0,15700.0,15158.214285714286,15225.0,14961.607142857143,609.5,613.0,605.5,613.0,592.0
19150.0,2024-04-06,15200.0,15450.0,15236.07142857143,15850.0,14986.785714285714,608.8,613.0,604.0,613.0,592.0
18950.0,2024-04-07,15250.0,15200.0,15325.0,15700.0,15017.5,608.1,613.0,602.5,613.0,592.0
18925.0,2024-04-08,15250.0,15250.0,15417.857142857143,15450.0,15050.17857142857,607.4,613.0,601.0,592.0,592.0
18900.0,2024-04-09,15250.0,15250.0,15421.42857142857,15200.0,15084.82142857143,606.7,613.0,599.5,592.0,592.0
18350.0,2024-04-10,15200.0,15250.0,15328.57142857143,15250.0,15117.857142857143,606.0,613.0,598.0,592.0,592.0
18100.0,2024-04-11,15150.0,15200.0,15250.0,15250.0,15149.285714285714,605.3,613.0,596.5,592.0,592.0
18150.0,2024-04-12,15150.0,15150.0,15207.142857142857,15250.0,15182.67857142857,604.6,613.0,595.0,592.0,592.0
18184.21052631579,2024-04-13,15121.052631578948,15150.0,15195.864661654135,15200.0,15215.96804511278,603.9,613.0,593.5,592.0,592.0
18218.42105263158,2024-04-14,15092.105263157897,15121.052631578948,15173.30827067669,15150.0,15249.154135338347,603.2,613.0,592.0,592.0,592.0
18252.63157894737,2024-04-15,15063.157894736842,15092.105263157897,15146.616541353384,15150.0,15282.236842105263,602.5,613.0,592.0,592.0,592.0
18286.84210526316,2024-04-16,15034.21052631579,15063.157894736842,15115.789473684212,15121.052631578948,15268.609022556391,601.8,613.0,592.0,592.0,592.0
18321.052631578947,2024-04-17,15005.263157894737,15034.21052631579,15087.96992481203,15092.105263157897,15208.270676691727,601.1,613.0,592.0,592.0,592.0
18355.263157894737,2024-04-18,14976.315789473683,15005.263157894737,15063.157894736842,15063.157894736842,15156.578947368422,600.4,613.0,592.0,592.0,592.0
18389.473684210527,2024-04-19,14947.368421052632,14976.315789473683,15034.21052631579,15034.21052631579,15120.676691729324,599.7,613.0,592.0,592.0,592.0
18423.68421052632,2024-04-20,14918.421052631578,14947.368421052632,15005.263157894737,15005.263157894737,15100.563909774435,599.0,613.0,592.0,592.0,592.0
18457.894736842107,2024-04-21,14889.473684210529,14918.421052631578,14976.315789473683,14976.315789473683,15074.812030075189,598.3,613.0,592.0,592.0,592.0
