date,harga_beras_kateng,harga_beras_nasional,global_price
2022-07-18,15435.714285714286,12178.57142857143,418.0
2022-07-19,15350.0,12150.0,418.0
2022-07-20,15264.285714285714,12121.42857142857,418.0
2022-07-21,15178.57142857143,12092.857142857143,418.0
2022-07-22,15092.857142857143,12064.285714285714,418.0
2022-07-23,15007.142857142857,12035.714285714286,418.0
2022-07-24,14921.42857142857,12007.142857142857,418.0
2022-07-25,14835.714285714286,11978.57142857143,418.0
2022-07-26,14750.0,11950.0,418.0
2022-07-27,14664.285714285714,11921.42857142857,418.0
2022-07-28,14578.571428571428,11892.857142857143,418.0
2022-07-29,14492.857142857143,11864.285714285714,418.0
2022-07-30,14407.142857142857,11835.714285714286,418.0
2022-07-31,14321.42857142857,11807.142857142857,418.0
2022-08-01,14235.714285714286,11778.57142857143,431.0
2022-08-02,14150.0,11750.0,431.0
2022-08-03,14150.0,11700.0,431.0
2022-08-04,14050.0,11700.0,431.0
2022-08-05,14025.0,11700.0,431.0
2022-08-06,14000.0,11700.0,431.0
2022-08-07,14000.0,11700.0,431.0
2022-08-08,14450.0,11750.0,431.0
2022-08-09,14900.0,11850.0,431.0
2022-08-10,15050.0,11975.0,431.0
2022-08-11,15200.0,12100.0,431.0
2022-08-12,15950.0,12350.0,431.0
2022-08-13,15864.285714285714,12321.42857142857,431.0
2022-08-14,15778.57142857143,12292.857142857143,431.0
2022-08-15,15692.857142857143,12264.285714285714,431.0
2022-08-16,15607.142857142857,12235.714285714286,431.0
2022-08-17,15521.42857142857,12207.142857142857,431.0
2022-08-18,15435.714285714286,12178.57142857143,431.0
2022-08-19,15350.0,12150.0,431.0
2022-08-20,15264.285714285714,12121.42857142857,431.0
2022-08-21,15178.57142857143,12092.857142857143,431.0
2022-08-22,15092.857142857143,12064.285714285714,431.0
2022-08-23,15007.142857142857,12035.714285714286,431.0
2022-08-24,14921.42857142857,12007.142857142857,431.0
2022-08-25,14835.714285714286,11978.57142857143,431.0
2022-08-26,14750.0,11950.0,431.0
2022-08-27,14664.285714285714,11921.42857142857,431.0
2022-08-28,14578.571428571428,11892.857142857143,431.0
2022-08-29,14492.857142857143,11864.285714285714,431.0
2022-08-30,14407.142857142857,11835.714285714286,431.0
2022-08-31,14321.42857142857,11807.142857142857,431.0
